description,id,category_var,name
alumnado,alumnado,general,alumnado
profesorado,profesorado,general,profesorado
coordinacion,coordinacion,general,coordinacion
jefaturas,jefaturas,general,jefaturas
22002491-SSC201,22002491-SSC201,mo,22002491-SSC201
22002521-ADG201,22002521-ADG201,sg,22002521-ADG201
22004611-SSC302,22004611-SSC302,mv,22004611-SSC302
22010712-ELE202,22010712-ELE202,pi,22010712-ELE202
44003028-SEA301,44003028-SEA301,sb,44003028-SEA301
44003211-ADG201,44003211-ADG201,se,44003211-ADG201
44003235-SAN203,44003235-SAN203,vt,44003235-SAN203
44010537-IFC302,44010537-IFC302,ba,44010537-IFC302
50008460-SSC201,50008460-SSC201,lb,50008460-SSC201
50008642-SSC303,50008642-SSC303,mm,50008642-SSC303
50009348-SSC302,50009348-SSC302,av,50009348-SSC302
50009567-ELE304,50009567-ELE304,rg,50009567-ELE304
50009567-SAN202,50009567-SAN202,rg,50009567-SAN202
50009567-SAN203,50009567-SAN203,rg,50009567-SAN203
50010144-IFC301,50010144-IFC301,ps,50010144-IFC301
50010156-HOT301,50010156-HOT301,mi,50010156-HOT301
50010314-COM201,50010314-COM201,le,50010314-COM201
50010314-COM301,50010314-COM301,le,50010314-COM301
50010314-COM302,50010314-COM302,le,50010314-COM302
50010314-COM303,50010314-COM303,le,50010314-COM303
50010314-IFC201,50010314-IFC201,le,50010314-IFC201
50010314-IFC303,50010314-IFC303,le,50010314-IFC303
50010314-IMS302,50010314-IMS302,le,50010314-IMS302
50010511-ADG201,50010511-ADG201,tm,50010511-ADG201
50018829-ADG301,50018829-ADG301,ca,50018829-ADG301
50018829-ADG302,50018829-ADG302,ca,50018829-ADG302
50018829-QUI301,50018829-QUI301,ca,50018829-QUI301
50020125-IFC201,50020125-IFC201,cd_smr,50020125-IFC201
50020125-IFC301,50020125-IFC301,cd_asir,50020125-IFC301
50020125-IFC302,50020125-IFC302,cd_dam,50020125-IFC302
50020125-IFC303,50020125-IFC303,cd_daw,50020125-IFC303
50020125-CESIFC02,50020125-CESIFC02,cd_iabd,50020125-CESIFC02
50020125-CESIFC01,50020125-CESIFC01,cd_ceti,50020125-CESIFC01
50020125-CESIFC05,50020125-CESIFC05,cd_python,50020125-CESIFC05
50020125-CESIFC04,50020125-CESIFC04,cd_nube,50020125-CESIFC04
